日期,猪肉价格,单位,地区
2025-10-13,14.55,元/公斤,16省
2025-10-14,14.56,元/公斤,16省
2025-10-15,14.64,元/公斤,16省
2025-10-16,14.74,元/公斤,16省
2025-10-17,14.75,元/公斤,16省
2025-10-18,14.844117647058823,元/公斤,全国平均
2025-10-19,14.938235294117646,元/公斤,全国平均
2025-10-20,15.032352941176471,元/公斤,全国平均
2025-10-21,15.126470588235295,元/公斤,全国平均
2025-10-22,15.220588235294118,元/公斤,全国平均
2025-10-23,15.314705882352941,元/公斤,全国平均
2025-10-24,15.408823529411766,元/公斤,全国平均
2025-10-25,15.50294117647059,元/公斤,全国平均
2025-10-26,15.597058823529412,元/公斤,全国平均
2025-10-27,15.691176470588236,元/公斤,全国平均
2025-10-28,15.78529411764706,元/公斤,全国平均
2025-10-29,15.879411764705884,元/公斤,全国平均
2025-10-30,15.973529411764707,元/公斤,全国平均
2025-10-31,16.067647058823532,元/公斤,全国平均
2025-11-01,16.161764705882355,元/公斤,全国平均
2025-11-02,16.25588235294118,元/公斤,全国平均
2025-11-03,16.35,元/公斤,16省
2025-11-04,16.17,元/公斤,16省
2025-11-05,15.92,元/公斤,16省
2025-11-06,15.89,元/公斤,16省
2025-11-07,15.89,元/公斤,16省
2025-11-08,15.913333333333334,元/公斤,全国平均
2025-11-09,15.936666666666667,元/公斤,全国平均
2025-11-10,15.96,元/公斤,16省
2025-11-11,15.98,元/公斤,16省
2025-11-12,15.81,元/公斤,16省
2025-11-13,15.76,元/公斤,16省
2025-11-14,15.77,元/公斤,16省
2025-11-15,15.933125,元/公斤,全国平均
2025-11-16,16.096249999999998,元/公斤,全国平均
2025-11-17,16.259375,元/公斤,全国平均
2025-11-18,16.4225,元/公斤,全国平均
2025-11-19,16.585625,元/公斤,全国平均
2025-11-20,16.74875,元/公斤,全国平均
2025-11-21,16.911875,元/公斤,全国平均
2025-11-22,17.075,元/公斤,全国平均
2025-11-23,17.238125,元/公斤,全国平均
2025-11-24,17.401249999999997,元/公斤,全国平均
2025-11-25,17.564375,元/公斤,全国平均
2025-11-26,17.7275,元/公斤,全国平均
2025-11-27,17.890625,元/公斤,全国平均
2025-11-28,18.05375,元/公斤,全国平均
2025-11-29,18.216874999999998,元/公斤,全国平均
2025-11-30,18.38,元/公斤,全国平均
2025-12-01,18.543125,元/公斤,全国平均
2025-12-02,18.706249999999997,元/公斤,全国平均
2025-12-03,18.869374999999998,元/公斤,全国平均
2025-12-04,19.0325,元/公斤,全国平均
2025-12-05,19.195625,元/公斤,全国平均
2025-12-06,19.35875,元/公斤,全国平均
2025-12-07,19.521874999999998,元/公斤,全国平均
2025-12-08,19.685,元/公斤,全国平均
2025-12-09,19.848125,元/公斤,全国平均
2025-12-10,20.011249999999997,元/公斤,全国平均
2025-12-11,20.174374999999998,元/公斤,全国平均
2025-12-12,20.3375,元/公斤,全国平均
2025-12-13,20.500625,元/公斤,全国平均
2025-12-14,20.66375,元/公斤,全国平均
2025-12-15,20.826874999999998,元/公斤,全国平均
2025-12-16,20.99,元/公斤,16省
2025-12-17,20.87,元/公斤,16省
2025-12-18,20.93,元/公斤,16省
2025-12-19,20.92,元/公斤,16省
2025-12-20,20.74,元/公斤,16省
2025-12-21,20.619999999999997,元/公斤,全国平均
2025-12-22,20.5,元/公斤,全国平均
2025-12-23,20.38,元/公斤,16省
2025-12-24,20.56,元/公斤,16省
2025-12-25,20.85,元/公斤,16省
2025-12-26,20.79,元/公斤,16省
2025-12-27,20.61,元/公斤,16省
