日期,猪肉价格,单位,数据来源
2023-01-01,34.45,元/公斤,示例数据
2023-01-02,33.61,元/公斤,示例数据
2023-01-03,30.68,元/公斤,示例数据
2023-01-04,34.39,元/公斤,示例数据
2023-01-05,35.43,元/公斤,示例数据
2023-01-06,29.9,元/公斤,示例数据
2023-01-07,33.61,元/公斤,示例数据
2023-01-08,32.3,元/公斤,示例数据
2023-01-09,35.04,元/公斤,示例数据
2023-01-10,33.41,元/公斤,示例数据
2023-01-11,30.88,元/公斤,示例数据
2023-01-12,29.84,元/公斤,示例数据
2023-01-13,34.45,元/公斤,示例数据
2023-01-14,30.29,元/公斤,示例数据
2023-01-15,30.55,元/公斤,示例数据
2023-01-16,32.63,元/公斤,示例数据
2023-01-17,32.05,元/公斤,示例数据
2023-01-18,29.64,元/公斤,示例数据
2023-01-19,30.81,元/公斤,示例数据
2023-01-20,35.23,元/公斤,示例数据
2023-01-21,30.55,元/公斤,示例数据
2023-01-22,31.98,元/公斤,示例数据
2023-01-23,35.69,元/公斤,示例数据
2023-01-24,31.13,元/公斤,示例数据
2023-01-25,30.74,元/公斤,示例数据
2023-01-26,34.97,元/公斤,示例数据
2023-01-27,33.34,元/公斤,示例数据
2023-01-28,34.58,元/公斤,示例数据
2023-01-29,31.98,元/公斤,示例数据
2023-01-30,34.0,元/公斤,示例数据
2023-01-31,34.65,元/公斤,示例数据
2023-02-01,32.62,元/公斤,示例数据
2023-02-02,34.19,元/公斤,示例数据
2023-02-03,31.94,元/公斤,示例数据
2023-02-04,28.56,元/公斤,示例数据
2023-02-05,32.62,元/公斤,示例数据
2023-02-06,34.12,元/公斤,示例数据
2023-02-07,32.44,元/公斤,示例数据
2023-02-08,28.31,元/公斤,示例数据
2023-02-09,28.56,元/公斤,示例数据
2023-02-10,33.88,元/公斤,示例数据
2023-02-11,30.56,元/公斤,示例数据
2023-02-12,29.5,元/公斤,示例数据
2023-02-13,28.88,元/公斤,示例数据
2023-02-14,32.25,元/公斤,示例数据
2023-02-15,30.0,元/公斤,示例数据
2023-02-16,30.0,元/公斤,示例数据
2023-02-17,32.12,元/公斤,示例数据
2023-02-18,28.25,元/公斤,示例数据
2023-02-19,33.12,元/公斤,示例数据
2023-02-20,31.06,元/公斤,示例数据
2023-02-21,33.31,元/公斤,示例数据
2023-02-22,33.69,元/公斤,示例数据
2023-02-23,30.81,元/公斤,示例数据
2023-02-24,33.38,元/公斤,示例数据
2023-02-25,32.31,元/公斤,示例数据
2023-02-26,33.5,元/公斤,示例数据
2023-02-27,28.75,元/公斤,示例数据
2023-02-28,32.06,元/公斤,示例数据
2023-03-01,31.26,元/公斤,示例数据
2023-03-02,29.82,元/公斤,示例数据
2023-03-03,32.1,元/公斤,示例数据
2023-03-04,30.6,元/公斤,示例数据
2023-03-05,30.36,元/公斤,示例数据
2023-03-06,31.44,元/公斤,示例数据
2023-03-07,31.32,元/公斤,示例数据
2023-03-08,31.38,元/公斤,示例数据
2023-03-09,28.14,元/公斤,示例数据
2023-03-10,28.14,元/公斤,示例数据
2023-03-11,28.02,元/公斤,示例数据
2023-03-12,27.9,元/公斤,示例数据
2023-03-13,28.74,元/公斤,示例数据
2023-03-14,28.02,元/公斤,示例数据
2023-03-15,29.76,元/公斤,示例数据
2023-03-16,31.68,元/公斤,示例数据
2023-03-17,31.26,元/公斤,示例数据
2023-03-18,27.3,元/公斤,示例数据
2023-03-19,32.64,元/公斤,示例数据
2023-03-20,31.86,元/公斤,示例数据
2023-03-21,29.1,元/公斤,示例数据
2023-03-22,27.72,元/公斤,示例数据
2023-03-23,31.5,元/公斤,示例数据
2023-03-24,30.96,元/公斤,示例数据
2023-03-25,29.7,元/公斤,示例数据
2023-03-26,31.56,元/公斤,示例数据
2023-03-27,28.56,元/公斤,示例数据
2023-03-28,30.36,元/公斤,示例数据
2023-03-29,31.02,元/公斤,示例数据
2023-03-30,30.12,元/公斤,示例数据
2023-03-31,30.06,元/公斤,示例数据
2023-04-01,31.22,元/公斤,示例数据
2023-04-02,26.56,元/公斤,示例数据
2023-04-03,29.09,元/公斤,示例数据
2023-04-04,30.42,元/公斤,示例数据
2023-04-05,27.2,元/公斤,示例数据
2023-04-06,30.53,元/公斤,示例数据
2023-04-07,30.19,元/公斤,示例数据
2023-04-08,30.82,元/公斤,示例数据
2023-04-09,30.07,元/公斤,示例数据
2023-04-10,28.63,元/公斤,示例数据
2023-04-11,27.77,元/公斤,示例数据
2023-04-12,29.15,元/公斤,示例数据
2023-04-13,26.05,元/公斤,示例数据
2023-04-14,28.23,元/公斤,示例数据
2023-04-15,29.27,元/公斤,示例数据
2023-04-16,29.96,元/公斤,示例数据
2023-04-17,28.23,元/公斤,示例数据
2023-04-18,30.13,元/公斤,示例数据
2023-04-19,27.71,元/公斤,示例数据
2023-04-20,29.61,元/公斤,示例数据
2023-04-21,26.56,元/公斤,示例数据
2023-04-22,26.22,元/公斤,示例数据
2023-04-23,29.67,元/公斤,示例数据
2023-04-24,27.02,元/公斤,示例数据
2023-04-25,27.08,元/公斤,示例数据
2023-04-26,26.56,元/公斤,示例数据
2023-04-27,26.45,元/公斤,示例数据
2023-04-28,28.12,元/公斤,示例数据
2023-04-29,29.61,元/公斤,示例数据
2023-04-30,31.16,元/公斤,示例数据
2023-05-01,28.33,元/公斤,示例数据
2023-05-02,27.28,元/公斤,示例数据
2023-05-03,29.76,元/公斤,示例数据
2023-05-04,25.91,元/公斤,示例数据
2023-05-05,29.81,元/公斤,示例数据
2023-05-06,27.01,元/公斤,示例数据
2023-05-07,26.46,元/公斤,示例数据
2023-05-08,26.13,元/公斤,示例数据
2023-05-09,27.45,元/公斤,示例数据
2023-05-10,29.37,元/公斤,示例数据
2023-05-11,28.11,元/公斤,示例数据
2023-05-12,25.8,元/公斤,示例数据
2023-05-13,28.0,元/公斤,示例数据
2023-05-14,25.8,元/公斤,示例数据
2023-05-15,28.27,元/公斤,示例数据
2023-05-16,27.01,元/公斤,示例数据
2023-05-17,28.99,元/公斤,示例数据
2023-05-18,25.25,元/公斤,示例数据
2023-05-19,27.61,元/公斤,示例数据
2023-05-20,26.13,元/公斤,示例数据
2023-05-21,29.76,元/公斤,示例数据
2023-05-22,29.1,元/公斤,示例数据
2023-05-23,26.95,元/公斤,示例数据
2023-05-24,26.79,元/公斤,示例数据
2023-05-25,29.7,元/公斤,示例数据
2023-05-26,24.75,元/公斤,示例数据
2023-05-27,28.93,元/公斤,示例数据
2023-05-28,26.13,元/公斤,示例数据
2023-05-29,24.97,元/公斤,示例数据
2023-05-30,25.03,元/公斤,示例数据
2023-05-31,29.76,元/公斤,示例数据
2023-06-01,28.82,元/公斤,示例数据
2023-06-02,28.77,元/公斤,示例数据
2023-06-03,25.25,元/公斤,示例数据
2023-06-04,27.09,元/公斤,示例数据
2023-06-05,24.73,元/公斤,示例数据
2023-06-06,27.56,元/公斤,示例数据
2023-06-07,28.09,元/公斤,示例数据
2023-06-08,27.35,元/公斤,示例数据
2023-06-09,27.98,元/公斤,示例数据
2023-06-10,28.72,元/公斤,示例数据
2023-06-11,23.62,元/公斤,示例数据
2023-06-12,26.14,元/公斤,示例数据
2023-06-13,23.78,元/公斤,示例数据
2023-06-14,25.25,元/公斤,示例数据
2023-06-15,25.72,元/公斤,示例数据
2023-06-16,25.2,元/公斤,示例数据
2023-06-17,25.57,元/公斤,示例数据
2023-06-18,25.25,元/公斤,示例数据
2023-06-19,24.2,元/公斤,示例数据
2023-06-20,24.78,元/公斤,示例数据
2023-06-21,28.61,元/公斤,示例数据
2023-06-22,25.2,元/公斤,示例数据
2023-06-23,26.93,元/公斤,示例数据
2023-06-24,25.83,元/公斤,示例数据
2023-06-25,28.04,元/公斤,示例数据
2023-06-26,24.15,元/公斤,示例数据
2023-06-27,28.3,元/公斤,示例数据
2023-06-28,25.41,元/公斤,示例数据
2023-06-29,27.98,元/公斤,示例数据
2023-06-30,24.41,元/公斤,示例数据
2023-07-01,24.0,元/公斤,示例数据
2023-07-02,26.3,元/公斤,示例数据
2023-07-03,26.25,元/公斤,示例数据
2023-07-04,25.8,元/公斤,示例数据
2023-07-05,24.7,元/公斤,示例数据
2023-07-06,24.8,元/公斤,示例数据
2023-07-07,26.6,元/公斤,示例数据
2023-07-08,25.6,元/公斤,示例数据
2023-07-09,24.7,元/公斤,示例数据
2023-07-10,24.7,元/公斤,示例数据
2023-07-11,27.35,元/公斤,示例数据
2023-07-12,22.7,元/公斤,示例数据
