data_date,weather,max_temperature,min_temperature
2022-01-01,阴天,11.8,0.6
2022-01-02,阴天,10.4,0.5
2022-01-03,阴天,13.2,-0.1
2022-01-04,小毛毛雨,11.7,2.6
2022-01-05,小雨,11.1,6.9
2022-01-06,阴天,8.9,5.1
2022-01-07,阴天,9.3,4.7
2022-01-08,阴天,8.8,2.6
2022-01-09,小毛毛雨,7.0,2.5
2022-01-10,小毛毛雨,8.3,-0.8
2022-01-11,小毛毛雨,5.9,-1.0
2022-01-12,部分多云,7.4,-3.3
2022-01-13,阴天,5.3,-1.6
2022-01-14,小毛毛雨,7.7,-2.6
2022-01-15,小毛毛雨,11.4,-0.6
2022-01-16,阴天,10.9,1.2
2022-01-17,阴天,11.9,4.7
2022-01-18,阴天,10.1,1.6
2022-01-19,阴天,13.8,1.5
2022-01-20,阴天,7.6,3.2
2022-01-21,阴天,9.1,2.2
2022-01-22,小雨,11.4,5.5
2022-01-23,中毛毛雨,11.5,7.8
2022-01-24,中毛毛雨,8.3,4.6
2022-01-25,小毛毛雨,7.7,3.7
2022-01-26,小雨,8.1,4.0
2022-01-27,小雨,7.7,4.6
2022-01-28,中雪,6.9,1.5
2022-01-29,小雪,6.3,1.7
2022-01-30,小毛毛雨,6.4,-0.1
2022-01-31,阴天,7.9,-3.2
2022-02-01,阴天,7.3,2.2
2022-02-02,中毛毛雨,4.3,1.6
2022-02-03,中毛毛雨,7.1,2.7
2022-02-04,阴天,8.1,-0.2
2022-02-05,阴天,6.3,-0.9
2022-02-06,阴天,6.1,-1.8
2022-02-07,小雨,5.1,3.5
2022-02-08,小毛毛雨,8.3,2.3
2022-02-09,中毛毛雨,7.3,1.3
2022-02-10,阴天,7.6,2.2
2022-02-11,小雨,9.1,3.0
2022-02-12,小毛毛雨,9.4,5.4
2022-02-13,小毛毛雨,8.2,4.6
2022-02-14,阴天,11.2,1.0
2022-02-15,阴天,6.2,2.8
2022-02-16,阴天,8.0,1.2
2022-02-17,中雪,3.8,2.0
2022-02-18,小毛毛雨,6.7,2.6
2022-02-19,中毛毛雨,6.8,0.2
2022-02-20,阴天,4.8,-1.2
2022-02-21,阴天,7.2,-3.0
2022-02-22,中毛毛雨,7.2,-0.5
2022-02-23,小雪,6.9,-0.2
2022-02-24,晴朗,7.2,-1.9
2022-02-25,晴朗,11.7,-2.7
2022-02-26,晴朗,16.0,2.7
2022-02-27,晴朗,14.0,3.1
2022-02-28,小毛毛雨,20.5,6.7
2022-03-01,小雨,18.6,6.2
2022-03-02,阴天,15.2,4.7
2022-03-03,小毛毛雨,17.2,5.6
2022-03-04,中雨,20.0,9.5
2022-03-05,阴天,13.3,5.4
2022-03-06,阴天,10.5,5.6
2022-03-07,中毛毛雨,13.1,5.2
2022-03-08,晴朗,18.8,3.9
2022-03-09,晴朗,19.0,5.4
2022-03-10,阴天,20.1,9.6
2022-03-11,阴天,24.5,11.2
2022-03-12,阴天,23.5,12.1
2022-03-13,中雨,26.1,13.9
2022-03-14,中毛毛雨,25.0,10.6
2022-03-15,阴天,21.0,8.1
2022-03-16,阴天,27.2,11.4
2022-03-17,中雨,18.8,9.2
2022-03-18,小毛毛雨,11.9,8.1
2022-03-19,阴天,12.6,6.0
2022-03-20,小雨,9.2,6.4
2022-03-21,中雨,9.2,6.9
2022-03-22,中雨,11.1,6.9
2022-03-23,小毛毛雨,12.8,5.4
2022-03-24,阴天,16.5,4.2
2022-03-25,中雨,19.2,13.8
2022-03-26,小毛毛雨,16.0,10.9
2022-03-27,阴天,16.9,9.3
2022-03-28,阴天,12.4,6.7
2022-03-29,阴天,18.0,4.4
2022-03-30,阴天,23.5,12.0
2022-03-31,中毛毛雨,11.9,8.8
2022-04-01,阴天,11.5,6.2
2022-04-02,阴天,13.3,3.7
2022-04-03,晴朗,14.1,4.0
2022-04-04,阴天,16.9,4.4
2022-04-05,阴天,14.9,8.4
2022-04-06,阴天,21.6,7.7
2022-04-07,阴天,25.0,11.1
2022-04-08,阴天,25.7,10.8
2022-04-09,阴天,25.5,12.2
2022-04-10,阴天,25.2,15.6
2022-04-11,主要晴朗,32.0,15.4
2022-04-12,小毛毛雨,31.0,16.7
2022-04-13,大雨,16.9,14.0
2022-04-14,大雨,17.6,13.4
2022-04-15,阴天,17.0,12.0
2022-04-16,阴天,16.0,9.5
2022-04-17,阴天,17.4,7.8
2022-04-18,阴天,19.0,10.8
2022-04-19,小毛毛雨,21.3,8.8
2022-04-20,小毛毛雨,24.4,11.5
2022-04-21,中毛毛雨,25.1,13.8
2022-04-22,阴天,27.6,15.2
2022-04-23,中雨,20.1,15.0
2022-04-24,阴天,23.8,13.9
2022-04-25,中雨,26.5,16.2
2022-04-26,中毛毛雨,23.0,15.6
2022-04-27,阴天,18.9,13.8
2022-04-28,中雨,20.0,13.5
2022-04-29,小雨,17.0,11.6
2022-04-30,阴天,17.2,9.9
2022-05-01,阴天,18.2,10.7
2022-05-02,阴天,23.2,10.1
2022-05-03,阴天,25.5,12.4
2022-05-04,阴天,24.5,12.8
2022-05-05,晴朗,25.5,12.5
2022-05-06,阴天,28.1,14.4
2022-05-07,小毛毛雨,23.0,17.5
2022-05-08,阴天,22.1,14.1
2022-05-09,阴天,20.4,14.1
2022-05-10,中毛毛雨,22.4,15.6
2022-05-11,阴天,22.2,15.8
2022-05-12,小雨,21.0,16.8
2022-05-13,小雨,18.1,13.1
2022-05-14,阴天,20.8,12.6
2022-05-15,小毛毛雨,21.8,13.2
2022-05-16,阴天,24.7,13.6
2022-05-17,阴天,26.5,13.7
2022-05-18,阴天,26.1,14.2
2022-05-19,中毛毛雨,22.2,16.4
2022-05-20,小雨,21.7,17.3
2022-05-21,小毛毛雨,24.5,15.3
2022-05-22,阴天,26.6,14.9
2022-05-23,阴天,26.1,16.8
2022-05-24,中毛毛雨,20.6,16.2
2022-05-25,阴天,25.4,16.2
2022-05-26,中毛毛雨,24.9,16.2
2022-05-27,小雨,28.1,17.0
2022-05-28,小雨,23.6,19.1
2022-05-29,中雨,26.5,19.1
2022-05-30,浓毛毛雨,29.1,18.5
2022-05-31,阴天,26.8,15.1
2022-06-01,小雨,29.2,19.5
2022-06-02,小毛毛雨,28.5,19.9
2022-06-03,中毛毛雨,26.3,20.5
2022-06-04,小雨,27.9,21.8
2022-06-05,大雨,26.0,20.9
2022-06-06,小毛毛雨,30.5,20.1
2022-06-07,阴天,25.8,18.4
2022-06-08,阴天,26.2,16.8
2022-06-09,阴天,27.6,19.5
2022-06-10,小毛毛雨,23.1,20.0
2022-06-11,小毛毛雨,25.2,19.5
2022-06-12,中毛毛雨,22.5,19.1
2022-06-13,中雨,24.2,19.5
2022-06-14,大雨,28.6,18.5
2022-06-15,阴天,31.5,19.9
2022-06-16,阴天,32.2,21.0
2022-06-17,阴天,32.8,21.1
2022-06-18,阴天,30.6,21.5
2022-06-19,中毛毛雨,29.6,23.6
2022-06-20,中毛毛雨,29.2,23.0
2022-06-21,小毛毛雨,31.7,22.5
2022-06-22,小毛毛雨,34.5,23.5
2022-06-23,大雨,35.3,26.4
2022-06-24,中雨,27.2,24.1
2022-06-25,小毛毛雨,31.6,23.4
2022-06-26,阴天,33.4,25.9
2022-06-27,阴天,33.9,26.8
2022-06-28,阴天,34.0,26.7
2022-06-29,大雨,33.0,25.7
2022-06-30,中雨,31.1,26.1
2022-07-01,小毛毛雨,30.5,25.0
2022-07-02,小毛毛雨,30.5,24.2
2022-07-03,小毛毛雨,31.4,24.2
2022-07-04,阴天,32.8,24.4
2022-07-05,中毛毛雨,34.3,25.0
2022-07-06,中毛毛雨,35.7,27.0
2022-07-07,小雨,34.7,27.5
2022-07-08,中雨,36.8,26.9
2022-07-09,中雨,34.9,27.6
2022-07-10,小雨,35.1,27.1
2022-07-11,大雨,35.4,26.5
2022-07-12,阴天,38.7,27.6
2022-07-13,阴天,39.6,28.2
2022-07-14,阴天,40.4,28.2
2022-07-15,小雨,37.2,28.5
2022-07-16,小雨,31.1,26.4
2022-07-17,小雨,36.8,26.5
2022-07-18,中雨,32.5,25.9
2022-07-19,大雨,30.3,24.8
2022-07-20,小雨,36.2,26.3
2022-07-21,小毛毛雨,32.3,25.6
2022-07-22,小毛毛雨,34.0,24.5
2022-07-23,小雨,37.0,26.6
2022-07-24,中雨,32.5,25.0
2022-07-25,中毛毛雨,32.4,25.5
2022-07-26,中毛毛雨,35.8,26.4
2022-07-27,小雨,33.8,25.1
2022-07-28,阴天,36.0,26.2
2022-07-29,小毛毛雨,33.3,26.3
2022-07-30,小毛毛雨,32.7,26.0
2022-07-31,小毛毛雨,34.9,25.3
2022-08-01,浓毛毛雨,35.2,25.5
2022-08-02,中雨,34.7,26.9
2022-08-03,主要晴朗,35.2,27.4
2022-08-04,晴朗,36.3,27.8
2022-08-05,中毛毛雨,39.3,28.0
2022-08-06,小雨,35.8,28.0
2022-08-07,阴天,37.2,27.0
2022-08-08,阴天,37.2,28.0
2022-08-09,阴天,38.2,28.0
2022-08-10,小雨,39.3,28.0
2022-08-11,浓毛毛雨,40.3,28.4
2022-08-12,中毛毛雨,40.2,29.2
2022-08-13,浓毛毛雨,39.2,28.9
2022-08-14,阴天,40.1,28.9
2022-08-15,小毛毛雨,39.6,28.6
2022-08-16,大雨,39.8,28.0
2022-08-17,小雨,32.6,27.0
2022-08-18,小毛毛雨,36.3,26.9
2022-08-19,阴天,40.2,28.2
2022-08-20,小毛毛雨,38.2,28.5
2022-08-21,小雨,34.7,27.2
2022-08-22,阴天,40.2,27.0
2022-08-23,中毛毛雨,39.9,28.4
2022-08-24,小毛毛雨,31.9,26.4
2022-08-25,中雨,33.2,25.0
2022-08-26,中雨,29.6,24.5
2022-08-27,小雨,27.5,23.5
2022-08-28,阴天,28.6,24.2
2022-08-29,阴天,33.3,24.1
2022-08-30,中雨,32.9,25.1
2022-08-31,小毛毛雨,27.0,23.9
2022-09-01,小毛毛雨,28.0,23.0
2022-09-02,大雨,27.3,23.6
2022-09-03,中雨,29.0,24.4
2022-09-04,小雨,29.6,24.9
2022-09-05,中雨,26.4,20.8
2022-09-06,阴天,29.8,18.4
2022-09-07,小毛毛雨,32.0,22.0
2022-09-08,小毛毛雨,29.6,21.6
2022-09-09,阴天,27.6,21.0
2022-09-10,阴天,28.5,20.6
2022-09-11,阴天,29.5,21.8
2022-09-12,中雨,27.4,23.2
2022-09-13,中雨,24.9,23.2
2022-09-14,大雨,27.5,22.6
2022-09-15,大雨,26.5,21.4
2022-09-16,小毛毛雨,28.1,20.1
2022-09-17,小毛毛雨,28.1,21.4
2022-09-18,阴天,27.8,22.3
2022-09-19,晴朗,26.4,20.1
2022-09-20,阴天,24.5,19.0
2022-09-21,阴天,23.0,18.6
2022-09-22,阴天,27.6,16.8
2022-09-23,阴天,25.8,17.4
2022-09-24,小毛毛雨,24.1,17.1
2022-09-25,阴天,24.7,18.1
2022-09-26,中雨,25.2,18.3
2022-09-27,阴天,25.0,20.0
2022-09-28,小毛毛雨,24.8,19.4
2022-09-29,中毛毛雨,25.5,20.0
2022-09-30,小毛毛雨,26.5,19.8
2022-10-01,小毛毛雨,32.3,22.6
2022-10-02,主要晴朗,32.5,23.9
2022-10-03,主要晴朗,34.3,24.5
2022-10-04,阴天,26.4,18.1
2022-10-05,小毛毛雨,20.2,15.9
2022-10-06,中毛毛雨,18.5,15.6
2022-10-07,小雨,19.2,15.3
2022-10-08,中毛毛雨,20.5,15.6
2022-10-09,小毛毛雨,20.5,14.6
2022-10-10,阴天,16.9,9.2
2022-10-11,阴天,19.1,8.9
2022-10-12,阴天,20.6,13.8
2022-10-13,阴天,21.9,13.7
2022-10-14,小毛毛雨,22.3,15.5
2022-10-15,阴天,22.1,14.5
2022-10-16,阴天,22.4,16.0
2022-10-17,阴天,20.6,14.0
2022-10-18,小毛毛雨,19.2,11.9
2022-10-19,主要晴朗,19.3,11.0
2022-10-20,阴天,21.2,11.4
2022-10-21,阴天,26.0,12.4
2022-10-22,小毛毛雨,25.0,16.9
2022-10-23,阴天,22.0,14.6
2022-10-24,阴天,21.0,12.7
2022-10-25,阴天,19.8,12.8
2022-10-26,浓毛毛雨,20.4,13.1
2022-10-27,小毛毛雨,19.6,16.8
2022-10-28,小毛毛雨,19.4,14.6
2022-10-29,中毛毛雨,19.9,13.9
2022-10-30,小毛毛雨,22.5,14.1
2022-10-31,小毛毛雨,21.5,15.4
2022-11-01,阴天,21.5,14.3
2022-11-02,阴天,19.7,12.9
2022-11-03,阴天,19.9,11.4
2022-11-04,阴天,17.8,11.4
2022-11-05,阴天,18.0,8.9
2022-11-06,阴天,18.4,9.9
2022-11-07,晴朗,21.9,9.4
2022-11-08,晴朗,21.5,10.4
2022-11-09,小毛毛雨,23.4,13.1
2022-11-10,阴天,25.2,15.5
2022-11-11,中雨,23.7,17.7
2022-11-12,小毛毛雨,27.6,18.8
2022-11-13,小毛毛雨,19.3,11.9
2022-11-14,小毛毛雨,14.4,9.9
2022-11-15,小毛毛雨,15.6,7.7
2022-11-16,小雨,18.0,7.2
2022-11-17,小雨,17.0,13.9
2022-11-18,小雨,19.6,15.4
2022-11-19,中雨,20.3,15.9
2022-11-20,阴天,19.9,12.8
2022-11-21,小毛毛雨,20.8,11.3
2022-11-22,中雨,20.2,14.9
2022-11-23,阴天,18.5,13.0
2022-11-24,阴天,18.6,11.0
2022-11-25,阴天,20.2,11.7
2022-11-26,小毛毛雨,19.5,12.2
2022-11-27,阴天,20.5,11.6
2022-11-28,中雨,23.0,17.0
2022-11-29,小雨,17.6,8.6
2022-11-30,小雨,8.1,3.8
2022-12-01,小毛毛雨,6.4,2.6
2022-12-02,小毛毛雨,9.5,3.2
2022-12-03,浓毛毛雨,11.2,6.9
2022-12-04,中毛毛雨,11.0,8.1
